pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-199220,Vitamin B5 (pantothenate) metabolism,0.000294941,0.000246085,10,472,7.78E-05,0.834353772,3.790092123,FALSE,
R-HSA-9665348,Signaling by ERBB2 ECD mutants,0.00065914,0.00054922,10,333,0.000173678,0.833236541,3.795174004,FALSE,
R-HSA-1839126,FGFR2 mutant receptor activation,0.000474202,0.000395067,10,409,0.000124931,0.833119332,3.795707936,FALSE,
R-HSA-8874081,MET activates PTK2 signaling,0.000874821,0.00072874,10,248,0.000230448,0.833016767,3.79617528,FALSE,
R-HSA-8963899,Plasma lipoprotein remodeling,0.000856067,0.00071008,10,255,0.000224547,0.829467796,3.812417645,FALSE,
R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),0.000467073,0.000386856,10,415,0.000122335,0.828256742,3.817992055,FALSE,
R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,0.000461486,0.000381587,10,416,0.000120669,0.826865972,3.824413832,FALSE,
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,0.000616882,0.000507392,10,348,0.000160451,0.822510295,3.84466636,FALSE,
R-HSA-180534,Vpu mediated degradation of CD4,0.000831801,0.000683822,10,268,0.000216243,0.8220976,3.846596391,FALSE,
R-HSA-5635838,Activation of SMO,0.000503295,0.000411474,10,397,0.000130119,0.817559644,3.867947354,FALSE,
R-HSA-9704331,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,0.000468803,0.000381687,10,413,0.0001207,0.814172194,3.884040357,FALSE,
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",0.00059255,0.00048203,10,363,0.000152431,0.813483724,3.887327511,FALSE,
R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,0.000469217,0.000381446,10,412,0.000120624,0.812941512,3.889920263,FALSE,
R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis,0.000519824,0.00041918,10,391,0.000132556,0.806387611,3.921535519,FALSE,
