pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-199220,Vitamin B5 (pantothenate) metabolism,0.00038989101002025596
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,0.0003885023343986493
R-HSA-400451,Free fatty acids regulate insulin secretion,0.00038773705261672215
R-HSA-5621575,CD209 (DC-SIGN) signaling,0.000384862256709723
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,0.00038372607092110957
R-HSA-180910,Vpr-mediated nuclear import of PICs,0.0003825360393310516
R-HSA-73728,RNA Polymerase I Promoter Opening,0.000381616672646178
R-HSA-9830364,Formation of the nephric duct,0.00038017354523603973
R-HSA-194068,Bile acid and bile salt metabolism,0.0003792505446921962
R-HSA-1839124,FGFR1 mutant receptor activation,0.00037205597395870567
R-HSA-110331,Cleavage of the damaged purine,0.000370540247552844
R-HSA-9861718,Regulation of pyruvate metabolism,0.0003647359906072025
R-HSA-196071,Metabolism of steroid hormones,0.00036201693225994193
R-HSA-1483191,Synthesis of PC,0.00035820426558646237
R-HSA-5387390,Hh mutants abrogate ligand secretion,0.00035730790999568033
R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,0.0003556885533627947
R-HSA-3371511,HSF1 activation,0.0003476924651764303
R-HSA-1266695,Interleukin-7 signaling,0.00034317483667448525
R-HSA-445095,Interaction between L1 and Ankyrins,0.0003408543257940033
R-HSA-9664565,Signaling by ERBB2 KD Mutants,0.000337303719404679
R-HSA-190861,Gap junction assembly,0.0003366912105635131
R-HSA-5610783,Degradation of GLI2 by the proteasome,0.0003364506745169993
R-HSA-429947,Deadenylation of mRNA,0.0003363283317570319
R-HSA-4791275,Signaling by WNT in cancer,0.0003330184026849835
R-HSA-4090294,SUMOylation of intracellular receptors,0.0003325952473724987
R-HSA-3928663,EPHA-mediated growth cone collapse,0.0003308660271246308
R-HSA-2022928,HS-GAG biosynthesis,0.00032992874465299823
R-HSA-169911,Regulation of Apoptosis,0.0003286795655483101
R-HSA-375280,Amine ligand-binding receptors,0.00032269476591566335
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,0.0003207316583752747
R-HSA-1296072,Voltage gated Potassium channels,0.00031935696828094427
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,0.0003189497675053564
R-HSA-5620971,Pyroptosis,0.000318727265489529
R-HSA-8963899,Plasma lipoprotein remodeling,0.0003172064126554546
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,0.0003158674712461031
R-HSA-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus,0.0003139978342666505
R-HSA-8941856,RUNX3 regulates NOTCH signaling,0.0003125748038199242
R-HSA-2022870,CS-GAG biosynthesis,0.0003122094571267418
R-HSA-5637812,Signaling by EGFRvIII in Cancer,0.00031205784003316615
R-HSA-8982491,Glycogen metabolism,0.0003048832096643296
R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),0.00030003102423751204
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,0.0002987064816440548
R-HSA-5689901,Metalloprotease DUBs,0.0002980539630919864
R-HSA-432720,Lysosome Vesicle Biogenesis,0.0002976929353469934
R-HSA-74158,RNA Polymerase III Transcription,0.0002975353101326904
R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.0002934055699721259
R-HSA-9749641,Aspirin ADME,0.0002922811478688998
R-HSA-8941858,Regulation of RUNX3 expression and activity,0.0002918170529883483
R-HSA-4641265,Repression of WNT target genes,0.0002909064293086335
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,0.0002889516771118113
R-HSA-9665348,Signaling by ERBB2 ECD mutants,0.0002851867960455999
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,0.00028428384374827787
R-HSA-5686938,Regulation of TLR by endogenous ligand,0.00028300019123929967
R-HSA-622312,Inflammasomes,0.00028227245577873596
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.00028068366664470303
R-HSA-68616,Assembly of the ORC complex at the origin of replication,0.00028028806438747214
R-HSA-1643713,Signaling by EGFR in Cancer,0.0002784910008275838
R-HSA-180746,Nuclear import of Rev protein,0.00027376451305307693
R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,0.0002687818827653272
R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",0.0002684183511929434
R-HSA-427359,SIRT1 negatively regulates rRNA expression,0.00026832191126837946
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.0002660999121481776
R-HSA-500657,Presynaptic function of Kainate receptors,0.0002614152311709055
R-HSA-399956,CRMPs in Sema3A signaling,0.0002611664981471047
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,0.0002602032905390531
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.0002596845202796639
R-HSA-5223345,Miscellaneous transport and binding events,0.0002583114000540176
R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,0.00025145471696187
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),0.00025094781922167596
R-HSA-5260271,Diseases of Immune System,0.00024879116465613535
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.0002486222293264594
R-HSA-9830674,Formation of the ureteric bud,0.0002483402130188466
R-HSA-5654733,Negative regulation of FGFR4 signaling,0.00024824802310392005
R-HSA-4641263,Regulation of FZD by ubiquitination,0.0002446511232490443
R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,0.00024245662884898127
R-HSA-5685938,HDR through Single Strand Annealing (SSA),0.00024111612966225913
R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,0.00023722488623414463
R-HSA-917977,Transferrin endocytosis and recycling,0.0002371852531055956
R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,0.00023563494038165723
R-HSA-1296059,G protein gated Potassium channels,0.00023556033954778998
R-HSA-9615933,Postmitotic nuclear pore complex (NPC) reformation,0.000232946040194898
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,0.00023241663513222762
R-HSA-8948216,Collagen chain trimerization,0.00022954706404230486
R-HSA-9932451,SWI/SNF chromatin remodelers,0.00022683764404578724
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.00022665768803968237
R-HSA-1482801,Acyl chain remodelling of PS,0.0002246648504233417
R-HSA-6782315,tRNA modification in the nucleus and cytosol,0.0002232380255979163
R-HSA-9006335,Signaling by Erythropoietin,0.0002222064184574282
R-HSA-418217,G beta:gamma signalling through PLC beta,0.00021784228732066253
R-HSA-9671555,Signaling by PDGFR in disease,0.00021724954489567755
R-HSA-350054,Notch-HLH transcription pathway,0.00021670324693500727
R-HSA-451326,Activation of kainate receptors upon glutamate binding,0.00021612562156735838
R-HSA-373753,Nephrin family interactions,0.00021557252473863528
R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation,0.00021484117701846525
R-HSA-8964043,Plasma lipoprotein clearance,0.00021069753890000958
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,0.0002104593880131185
R-HSA-5218921,VEGFR2 mediated cell proliferation,0.00021028469212877425
R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,0.00021000718574559483
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.00020738300521324295
R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.00020706050821405855
R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,0.0002059321496602178
R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,0.00020297754814422607
R-HSA-9694614,Attachment and Entry,0.00020100661658111694
R-HSA-68962,Activation of the pre-replicative complex,0.00019989468956358177
R-HSA-5655253,Signaling by FGFR2 in disease,0.00019459131680591457
R-HSA-9839394,TGFBR3 expression,0.00019265319051478647
R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,0.00019157145281908876
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,0.00018777927721242316
R-HSA-8949613,Cristae formation,0.00018710542224508034
R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses,0.00018640343044220263
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,0.00018557407457617782
R-HSA-9764260,Regulation of Expression and Function of Type II Classical Cadherins,0.00018501243175530105
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,0.0001821195100182142
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",0.00018135577513842815
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,0.00017913591310760282
R-HSA-109704,PI3K Cascade,0.00017844399669533442
R-HSA-9823730,Formation of definitive endoderm,0.00017402759661697703
R-HSA-1566948,Elastic fibre formation,0.00017344947307596073
R-HSA-9615710,Late endosomal microautophagy,0.00017256911179906026
R-HSA-9638630,Attachment of bacteria to epithelial cells,0.00016979518470332337
R-HSA-416700,Other semaphorin interactions,0.00016938245758460433
R-HSA-8876384,Listeria monocytogenes entry into host cells,0.00016550153611042184
R-HSA-73933,Resolution of Abasic Sites (AP sites),0.00016454865885075947
R-HSA-5675221,Negative regulation of MAPK pathway,0.00016434507992764955
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.00016366367027573637
R-HSA-71403,Citric acid cycle (TCA cycle),0.0001622361471311677
R-HSA-4608870,Asymmetric localization of PCP proteins,0.00016166857642532298
